日期,平均氣溫(℃),溫差(℃),平均相對溼度(%),日照時數(小時),降水時數(小時),日累積降水量(mm)
2014-03-28,26.4,7.4,76.0,9.6,0.0,0.0
2014-03-29,26.9,5.7,78.0,8.7,0.0,0.0
2014-03-30,26.4,6.2,71.0,7.0,0.0,0.0
2014-03-31,23.7,7.9,80.0,0.6,5.0,27.5
2014-04-01,22.0,4.6,81.0,0.5,0.6,0.5
2014-04-02,21.1,5.7,81.0,0.9,2.1,8.5
2014-04-03,21.7,4.3,83.0,0.0,5.3,2.5
2014-04-04,21.9,7.1,73.0,0.9,0.0,0.0
2014-04-05,22.8,8.5,70.0,8.5,0.0,0.0
2014-04-06,23.2,7.2,71.0,1.6,0.0,0.0
2014-04-07,21.8,4.8,78.0,0.0,0.0,0.0
2014-04-08,23.7,9.9,75.0,5.3,0.0,0.0
2014-04-09,24.8,9.3,74.0,10.3,0.0,0.0
2014-04-10,25.0,9.2,74.0,7.3,0.0,0.0
2014-04-11,25.2,7.8,68.0,8.9,0.0,0.0
2014-04-12,26.3,6.9,66.0,9.2,0.0,0.0
2014-04-13,27.0,6.2,70.0,10.9,0.0,0.0
2014-04-14,25.2,8.7,70.0,7.5,0.0,0.0
2014-04-15,23.4,7.9,69.0,5.0,0.0,0.0
2014-04-16,25.0,8.2,71.0,6.2,0.0,0.0
2014-04-17,26.3,5.8,70.0,9.7,0.0,0.0
2014-04-18,26.5,4.2,74.0,2.3,0.0,0.0
2014-04-19,25.9,5.7,78.0,3.2,1.4,0.5
2014-04-20,26.4,4.6,75.0,1.1,0.0,0.0
2014-04-21,26.6,8.5,73.0,7.3,0.0,0.0
2014-04-22,26.7,8.5,72.0,6.8,0.0,0.0
2014-04-23,25.4,9.3,70.0,5.9,0.0,0.0
2014-04-24,26.6,8.9,70.0,5.9,0.0,0.0
2014-04-25,26.7,8.4,74.0,7.4,0.0,0.0
2014-04-26,27.0,6.9,75.0,2.5,0.0,0.0
2014-04-27,27.3,7.1,73.0,10.8,0.0,0.0
2014-04-28,26.6,7.8,70.0,5.1,0.0,0.0
2014-04-29,26.3,8.2,62.0,9.2,0.0,0.0
2014-04-30,25.2,6.2,67.0,0.4,0.0,0.0
2014-05-01,23.0,3.5,82.0,0.0,4.8,1.0
2014-05-02,24.4,6.2,83.0,0.0,0.0,0.0
2014-05-03,26.4,6.8,77.0,3.9,0.3,1.0
2014-05-04,26.2,6.8,75.0,2.5,0.5,0.5
2014-05-05,24.0,6.6,78.0,2.2,3.0,28.0
2014-05-06,19.7,2.8,87.0,0.0,4.2,2.0
2014-05-07,22.8,7.5,85.0,0.5,0.0,0.0
2014-05-08,25.3,8.9,76.0,6.7,0.0,0.0
2014-05-09,23.9,2.8,86.0,0.0,11.6,33.0
2014-05-10,25.8,8.0,74.0,1.2,0.5,2.0
2014-05-11,28.9,7.1,68.0,7.0,0.0,0.0
2014-05-12,27.9,8.3,77.0,5.9,1.0,12.5
2014-05-13,27.4,5.5,82.0,3.0,2.6,4.5
2014-05-14,28.5,6.3,77.0,8.6,0.0,0.0
2014-05-15,28.7,4.9,81.0,5.2,1.4,2.5
2014-05-16,28.7,4.5,84.0,6.1,0.9,1.0
2014-05-17,29.1,6.5,76.0,10.6,0.0,0.0
2014-05-18,28.5,4.0,79.0,1.5,0.5,2.5
2014-05-19,28.1,4.2,80.0,1.8,1.1,1.0
2014-05-20,27.7,4.8,82.0,2.9,0.8,14.5
2014-05-21,26.5,5.5,87.0,1.4,7.6,28.0
2014-05-22,28.9,8.6,73.0,8.9,0.0,0.0
2014-05-23,27.6,5.1,80.0,0.1,4.0,3.0
2014-05-24,29.3,8.1,72.0,8.5,0.0,0.0
2014-05-25,29.4,6.9,73.0,9.0,0.0,0.0
2014-05-26,29.5,5.9,75.0,10.7,0.0,0.0
2014-05-27,29.0,7.4,79.0,6.7,1.4,5.0
2014-05-28,28.5,6.1,86.0,5.0,3.0,39.5
2014-05-29,29.2,5.3,81.0,6.3,0.0,0.0
2014-05-30,29.2,4.9,77.0,3.9,0.0,0.0
2014-05-31,29.8,6.5,75.0,11.8,0.0,0.0
2014-06-01,29.9,6.7,73.0,9.7,0.0,0.0
2014-06-02,30.1,6.7,74.0,8.2,0.0,0.0
2014-06-03,28.0,4.5,83.0,0.0,2.8,6.5
2014-06-04,28.6,5.3,78.0,6.2,0.2,0.5
2014-06-05,28.2,5.1,83.0,2.1,3.3,34.5
2014-06-06,28.8,9.3,78.0,4.2,1.1,26.5
2014-06-07,27.9,6.6,80.0,2.5,5.1,3.5
2014-06-08,27.8,6.7,82.0,1.5,0.9,1.5
2014-06-09,28.4,4.5,82.0,0.6,0.1,0.1
2014-06-10,28.3,6.5,82.0,3.1,0.0,0.0
2014-06-11,27.8,6.1,82.0,1.4,0.6,3.0
2014-06-12,28.5,7.7,79.0,6.1,0.4,0.0
2014-06-13,27.7,5.9,80.0,0.8,3.7,6.5
2014-06-14,27.2,4.2,89.0,0.0,14.0,13.5
2014-06-15,27.9,4.5,88.0,1.1,3.5,5.5
2014-06-16,29.1,4.9,82.0,8.0,0.3,2.0
2014-06-17,29.4,4.9,83.0,8.2,0.8,1.0
2014-06-18,29.6,5.3,81.0,10.3,0.0,0.0
2014-06-19,29.5,5.4,81.0,8.5,0.0,0.0
2014-06-20,29.9,4.8,79.0,11.2,0.0,0.0
2014-06-21,30.0,4.4,76.0,9.3,0.0,0.0
2014-06-22,29.9,5.1,76.0,8.4,0.2,0.0
2014-06-23,30.0,5.2,76.0,10.1,0.2,0.1
2014-06-24,29.4,6.7,80.0,8.9,1.1,6.0
2014-06-25,28.7,5.7,85.0,5.4,1.7,14.3
2014-06-26,29.4,5.2,80.0,8.2,0.1,0.3
2014-06-27,30.2,5.9,77.0,10.5,0.0,0.0
2014-06-28,30.6,7.2,75.0,9.1,0.8,9.0
2014-06-29,30.2,5.8,78.0,11.2,0.1,0.0
2014-06-30,30.4,4.6,78.0,7.6,0.0,0.0
2014-07-01,30.4,5.0,78.0,10.2,0.0,0.0
2014-07-02,30.5,5.5,75.0,10.9,0.0,0.0
2014-07-03,30.7,5.0,75.0,11.0,0.2,0.5
2014-07-04,30.6,5.0,74.0,4.1,0.0,0.0
2014-07-05,31.2,6.6,69.0,6.1,0.0,0.0
2014-07-06,31.3,5.6,72.0,6.1,0.0,0.0
2014-07-07,31.2,5.3,75.0,7.5,0.0,0.0
2014-07-08,30.8,4.7,74.0,8.2,0.0,0.0
2014-07-09,30.4,7.3,78.0,7.0,0.1,0.2
2014-07-10,30.6,6.6,77.0,10.4,1.0,2.0
2014-07-11,30.3,5.5,79.0,9.7,1.1,1.0
2014-07-12,30.8,6.0,76.0,12.4,0.0,0.0
2014-07-13,31.1,5.5,74.0,12.3,0.0,0.0
2014-07-14,31.2,5.9,73.0,11.6,0.0,0.0
2014-07-15,31.0,5.1,74.0,8.1,0.0,0.0
2014-07-16,31.6,6.1,71.0,9.0,0.0,0.0
2014-07-17,30.9,5.2,73.0,3.4,0.0,0.0
2014-07-18,29.1,7.3,78.0,4.3,2.8,4.0
2014-07-19,29.3,7.5,77.0,5.8,2.0,2.5
2014-07-20,29.9,6.7,77.0,4.35,1.3,4.5
2014-07-21,30.5,5.9,77.0,2.9,0.2,0.0
2014-07-22,30.6,6.4,77.0,1.4500000000000002,1.7,1.0
2014-07-23,28.5,4.1,89.0,0.0,13.9,56.5
2014-07-24,29.0,5.4,85.0,3.6,5.1,15.5
2014-07-25,28.5,7.2,85.0,7.2,4.6,16.0
2014-07-26,29.7,7.1,78.0,5.9,0.0,0.0
2014-07-27,30.0,5.8,75.0,8.0,0.0,0.0
2014-07-28,30.2,5.8,75.0,7.7,0.0,0.0
2014-07-29,30.4,7.7,75.0,7.7,1.1,13.5
2014-07-30,30.6,5.1,78.0,7.7,0.1,0.2
2014-07-31,30.3,5.2,80.0,7.7,0.5,6.0
2014-08-01,30.3,6.1,80.0,7.7,0.0,0.0
2014-08-02,29.8,6.3,82.0,7.7,0.9,7.5
2014-08-03,30.3,5.7,78.0,10.2,0.0,0.0
2014-08-04,30.0,5.8,77.0,7.2,0.3,1.0
2014-08-05,28.9,7.5,80.0,3.7,2.0,3.5
2014-08-06,29.6,5.8,76.0,5.5,0.3,1.0
2014-08-07,28.6,7.4,84.0,6.1,3.0,54.5
2014-08-08,29.0,7.0,83.0,6.9,0.3,1.0
2014-08-09,27.4,4.5,91.0,2.5,9.8,74.5
2014-08-10,27.6,3.7,92.0,0.1,4.8,51.5
2014-08-11,26.9,5.5,92.0,2.2,8.4,93.0
2014-08-12,25.9,2.5,97.0,0.0,17.9,255.0
2014-08-13,26.1,4.0,94.0,0.0,12.6,60.0
2014-08-14,28.6,7.1,84.0,7.3,1.6,3.5
2014-08-15,29.5,4.8,83.0,9.9,0.0,0.0
2014-08-16,29.4,5.8,80.0,7.8,0.0,0.0
2014-08-17,29.7,5.8,74.0,7.1,0.0,0.0
2014-08-18,28.2,6.6,83.0,1.8,3.5,27.0
2014-08-19,28.2,6.2,80.0,8.1,0.0,0.0
2014-08-20,28.3,7.2,77.0,8.3,1.6,9.0
2014-08-21,29.0,6.5,75.0,11.6,0.0,0.0
2014-08-22,29.7,5.6,73.0,9.4,0.0,0.0
2014-08-23,30.0,6.2,68.0,10.7,0.0,0.0
2014-08-24,30.3,5.7,71.0,10.9,0.0,0.0
2014-08-25,29.8,5.1,79.0,6.7,0.9,28.0
2014-08-26,30.3,6.7,73.0,10.2,0.0,0.0
2014-08-27,30.0,6.2,73.0,8.6,0.0,0.0
2014-08-28,29.7,7.2,71.0,10.8,1.3,1.6
2014-08-29,29.0,8.3,77.0,8.9,3.3,4.0
2014-08-30,29.3,6.6,74.0,9.6,0.0,0.0
2014-08-31,29.2,6.0,77.0,5.1,0.9,6.5
2014-09-01,29.8,6.8,75.0,9.1,0.0,0.0
2014-09-02,30.0,5.4,74.0,8.9,0.0,0.0
2014-09-03,29.9,5.1,76.0,9.2,0.0,0.0
2014-09-04,29.6,7.2,72.0,8.5,0.0,0.0
2014-09-05,30.2,6.9,73.0,9.8,0.0,0.0
2014-09-06,30.4,5.7,75.0,9.1,0.2,0.0
2014-09-07,29.7,3.8,78.0,3.9,0.5,0.5
2014-09-08,29.7,5.0,78.0,5.4,0.1,0.3
2014-09-09,29.8,6.3,75.0,7.6,0.4,0.5
2014-09-10,29.5,6.4,74.0,6.8,0.0,0.0
2014-09-11,30.0,6.8,75.0,5.8,0.1,1.0
2014-09-12,29.6,7.4,78.0,8.2,2.9,38.0
2014-09-13,29.8,8.0,76.0,7.9,1.7,2.0
2014-09-14,30.4,5.9,75.0,8.9,0.0,0.0
2014-09-15,31.1,5.5,75.0,9.9,0.0,0.0
2014-09-16,30.5,5.9,77.0,5.4,0.0,0.0
2014-09-17,30.4,5.1,77.0,7.1,0.1,0.2
2014-09-18,30.2,4.9,80.0,6.1,0.0,0.0
2014-09-19,30.5,4.9,77.0,4.9,0.0,0.0
2014-09-20,28.7,7.6,83.0,1.3,4.1,26.5
2014-09-21,26.6,2.0,92.0,0.0,17.4,18.0
2014-09-22,27.2,7.7,84.0,1.4,0.6,1.0
2014-09-23,27.5,3.8,84.0,1.9,0.4,0.0
2014-09-24,28.7,6.5,79.0,9.8,0.0,0.0
2014-09-25,29.0,6.0,77.0,8.8,0.0,0.0
2014-09-26,29.5,6.7,74.0,10.7,0.0,0.0
2014-09-27,29.8,5.6,75.0,8.9,0.0,0.0
2014-09-28,29.3,5.0,76.0,7.9,0.0,0.0
2014-09-29,29.4,5.9,71.0,7.9,0.0,0.0
2014-09-30,29.3,5.0,73.0,8.2,0.0,0.0
2014-10-01,29.3,5.7,72.0,8.9,0.0,0.0
2014-10-02,28.4,6.3,77.0,5.2,0.4,1.5
2014-10-03,28.0,6.8,70.0,6.3,0.0,0.0
2014-10-04,26.1,7.8,63.0,6.7,0.0,0.0
2014-10-05,26.0,7.6,66.0,4.8,0.0,0.0
2014-10-06,26.2,8.5,65.0,10.3,0.0,0.0
2014-10-07,25.8,8.9,62.0,9.6,0.0,0.0
2014-10-08,26.5,9.5,63.0,7.8,0.0,0.0
2014-10-09,26.8,9.1,68.0,9.0,0.0,0.0
2014-10-10,27.2,8.9,73.0,8.7,0.0,0.0
2014-10-11,26.6,6.5,73.0,10.4,0.0,0.0
2014-10-12,26.0,7.9,67.0,10.6,0.0,0.0
2014-10-13,26.2,9.2,63.0,10.7,0.0,0.0
2014-10-14,24.8,9.3,63.0,9.8,0.0,0.0
2014-10-15,24.4,9.2,61.0,9.8,0.0,0.0
2014-10-16,24.6,8.4,63.0,7.0,0.0,0.0
2014-10-17,25.2,8.3,63.0,10.3,0.0,0.0
2014-10-18,25.9,7.8,67.0,10.2,0.0,0.0
2014-10-19,26.4,7.7,70.0,10.7,0.0,0.0
2014-10-20,27.1,9.0,74.0,10.6,0.0,0.0
2014-10-21,27.7,7.9,69.0,10.0,0.0,0.0
2014-10-22,27.3,9.2,67.0,10.4,0.0,0.0
2014-10-23,26.0,8.4,65.0,8.9,0.0,0.0
2014-10-24,25.8,8.4,68.0,10.1,0.0,0.0
2014-10-25,26.1,7.2,74.0,7.5,0.0,0.0
2014-10-26,26.2,7.7,78.0,8.5,0.0,0.0
2014-10-27,27.0,7.5,75.0,5.6,0.0,0.0
2014-10-28,26.3,7.4,68.0,9.4,0.0,0.0
2014-10-29,26.1,6.7,71.0,10.1,0.0,0.0
2014-10-30,26.2,5.8,74.0,9.9,0.0,0.0
2014-10-31,26.4,5.3,73.0,9.2,0.0,0.0
2014-11-01,26.5,6.1,73.0,8.4,0.0,0.0
2014-11-02,25.8,9.0,74.0,8.2,0.0,0.0
2014-11-03,23.1,6.5,62.0,3.6,0.0,0.0
2014-11-04,23.5,7.4,62.0,7.2,0.0,0.0
2014-11-05,24.0,7.3,66.0,10.3,0.0,0.0
2014-11-06,24.1,7.4,69.0,5.2,0.0,0.0
2014-11-07,24.7,7.2,69.0,7.7,0.0,0.0
2014-11-08,25.1,5.6,73.0,4.6,0.0,0.0
2014-11-09,24.4,7.1,74.0,7.8,0.0,0.0
2014-11-10,24.1,7.8,73.0,9.2,0.0,0.0
2014-11-11,24.3,8.0,71.0,8.2,0.0,0.0
2014-11-12,24.4,0.0,70.0,6.7,0.0,0.0
2014-11-13,22.4,5.7,70.0,2.0,0.0,0.0
2014-11-14,21.8,6.3,74.0,2.2,0.0,0.0
2014-11-15,23.0,8.3,73.0,2.0,0.0,0.0
2014-11-16,23.4,5.9,78.0,3.8,0.0,0.0
2014-11-17,22.6,7.4,78.0,1.5,0.2,0.2
2014-11-18,21.5,8.4,67.0,6.2,0.0,0.0
2014-11-19,22.0,7.7,68.0,9.8,0.0,0.0
2014-11-20,22.0,9.1,74.0,10.1,0.0,0.0
2014-11-21,23.1,8.0,77.0,9.1,0.0,0.0
2014-11-22,23.4,9.7,78.0,9.9,0.0,0.0
2014-11-23,24.5,6.0,74.0,10.1,0.0,0.0
2014-11-24,24.2,6.3,74.0,10.1,0.0,0.0
2014-11-25,24.0,8.6,76.0,9.4,0.0,0.0
2014-11-26,24.3,9.5,74.0,9.4,0.0,0.0
2014-11-27,25.0,8.5,75.0,8.8,0.0,0.0
2014-11-28,25.4,6.6,80.0,6.8,0.0,0.0
2014-11-29,25.4,6.0,81.0,3.4,0.0,0.0
2014-11-30,26.2,6.6,78.0,8.0,0.0,0.0
2014-12-01,23.1,9.9,69.0,6.5,0.0,0.0
2014-12-02,17.6,3.8,77.0,0.0,0.0,0.0
2014-12-03,20.8,6.8,76.0,0.6,0.0,0.0
2014-12-04,17.4,7.7,82.0,0.1,3.0,6.5
2014-12-05,16.1,8.0,75.0,2.9,2.0,1.0
2014-12-06,17.7,10.4,68.0,7.3,0.0,0.0
2014-12-07,19.9,7.4,71.0,9.2,0.0,0.0
2014-12-08,19.2,9.0,77.0,9.0,0.0,0.0
2014-12-09,19.6,8.2,74.0,0.8,0.0,0.0
2014-12-10,21.3,7.6,80.0,1.5,0.0,0.0
2014-12-11,20.7,6.5,78.0,2.2,0.0,0.0
2014-12-12,16.1,4.5,74.0,0.0,0.0,0.0
2014-12-13,16.7,8.4,61.0,5.8,0.0,0.0
2014-12-14,18.2,8.2,65.0,7.8,0.0,0.0
2014-12-15,20.1,7.8,74.0,2.5,0.0,0.0
2014-12-16,17.8,6.7,65.0,9.8,0.0,0.0
2014-12-17,14.0,7.2,52.0,6.0,0.0,0.0
2014-12-18,15.8,10.3,61.0,5.1,0.0,0.0
2014-12-19,16.6,2.5,73.0,0.0,0.7,0.0
2014-12-20,17.5,6.6,73.0,2.7,0.5,0.5
2014-12-21,17.1,8.2,70.0,6.6,0.0,0.0
2014-12-22,15.4,9.4,62.0,9.2,0.0,0.0
2014-12-23,17.6,8.9,64.0,0.2,0.0,0.0
2014-12-24,19.8,8.1,71.0,0.5,0.0,0.0
2014-12-25,18.0,3.3,77.0,0.0,0.3,0.0
2014-12-26,17.6,4.3,80.0,0.3,0.1,0.0
2014-12-27,17.7,5.2,80.0,0.8,0.0,0.0
2014-12-28,16.7,6.7,83.0,1.6,0.2,0.0
2014-12-29,15.9,7.6,63.0,9.3,0.0,0.0
2014-12-30,16.4,10.6,65.0,8.8,0.0,0.0
2014-12-31,17.6,9.1,70.0,9.3,0.0,0.0
2015-01-01,16.1,10.0,66.0,7.9,0.0,0.0
2015-01-02,15.2,9.9,65.0,8.7,0.0,0.0
2015-01-03,16.8,9.0,68.0,8.2,0.0,0.0
2015-01-04,19.0,11.6,65.0,9.9,0.0,0.0
2015-01-05,21.1,11.2,61.0,10.0,0.0,0.0
2015-01-06,21.6,9.5,71.0,3.3,0.0,0.0
2015-01-07,18.1,7.0,77.0,3.2,0.0,0.0
2015-01-08,15.3,4.7,65.0,0.2,0.0,0.0
2015-01-09,16.5,9.3,65.0,6.8,0.0,0.0
2015-01-10,17.1,8.1,66.0,9.3,0.0,0.0
2015-01-11,18.2,9.2,68.0,8.6,0.0,0.0
2015-01-12,19.8,7.2,66.0,6.0,0.0,0.0
2015-01-13,18.7,6.8,78.0,3.3,0.0,0.0
2015-01-14,17.1,6.8,82.0,4.9,3.3,13.5
2015-01-15,16.6,9.7,73.0,9.3,0.0,0.0
2015-01-16,17.1,6.6,74.0,8.8,0.0,0.0
2015-01-17,16.4,9.1,69.0,9.5,0.0,0.0
2015-01-18,15.9,7.8,69.0,5.7,0.0,0.0
2015-01-19,17.1,8.8,69.0,2.0,0.0,0.0
2015-01-20,18.4,7.1,71.0,0.9,0.0,0.0
2015-01-21,18.0,5.7,79.0,4.7,0.0,0.0
2015-01-22,17.1,8.5,59.0,10.0,0.0,0.0
2015-01-23,16.8,8.4,61.0,9.5,0.0,0.0
2015-01-24,17.9,9.3,61.0,9.9,0.0,0.0
2015-01-25,20.1,8.6,60.0,8.7,0.0,0.0
2015-01-26,19.4,7.4,76.0,2.8,0.0,0.0
2015-01-27,19.3,6.2,82.0,1.6,0.2,0.0
2015-01-28,18.3,7.2,74.0,2.8,0.0,0.0
2015-01-29,18.5,8.5,77.0,8.4,0.0,0.0
2015-01-30,17.6,7.8,79.0,2.9,0.0,0.0
2015-01-31,16.4,8.7,75.0,7.4,0.0,0.0
2015-02-01,17.0,8.7,74.0,9.7,0.0,0.0
2015-02-02,17.9,6.7,77.0,9.9,0.0,0.0
2015-02-03,17.9,6.4,80.0,8.9,0.0,0.0
2015-02-04,17.2,8.5,77.0,7.0,0.0,0.0
2015-02-05,14.4,6.9,69.0,4.8,0.0,0.0
2015-02-06,14.4,6.6,67.0,2.1,0.0,0.0
2015-02-07,16.2,11.5,75.0,4.9,0.0,0.0
2015-02-08,16.1,6.8,69.0,2.5,0.0,0.0
2015-02-09,13.4,5.8,62.0,3.6,0.0,0.0
2015-02-10,14.8,9.8,69.0,10.0,0.0,0.0
2015-02-11,16.2,8.8,72.0,10.1,0.0,0.0
2015-02-12,17.5,9.2,59.0,9.6,0.0,0.0
2015-02-13,18.0,9.0,61.0,9.8,0.0,0.0
2015-02-14,19.8,9.1,56.0,5.1,0.0,0.0
2015-02-15,21.9,8.2,53.0,3.9,0.0,0.0
2015-02-16,21.3,8.7,77.0,7.3,2.7,7.5
2015-02-17,20.6,7.9,79.0,3.6,0.0,0.0
2015-02-18,20.1,9.1,74.0,9.4,0.0,0.0
2015-02-19,19.5,8.8,72.0,9.4,0.0,0.0
2015-02-20,20.1,7.0,73.0,8.2,0.0,0.0
2015-02-21,21.4,7.6,75.0,0.5,4.6,14.0
2015-02-22,21.9,7.2,84.0,6.6,0.2,0.5
2015-02-23,21.0,6.2,85.0,2.1,0.0,0.0
2015-02-24,21.2,8.9,82.0,7.0,0.0,0.0
2015-02-25,22.6,7.9,78.0,9.1,0.0,0.0
2015-02-26,23.7,8.7,77.0,9.5,0.0,0.0
2015-02-27,21.3,7.6,78.0,4.6,0.0,0.0
2015-02-28,22.1,9.8,76.0,7.4,0.0,0.0
2015-03-01,19.9,10.4,74.0,9.5,0.0,0.0
2015-03-02,19.0,9.4,69.0,5.1,0.0,0.0
2015-03-03,22.4,10.3,75.0,9.9,0.0,0.0
2015-03-04,20.1,6.3,75.0,0.3,0.0,0.0
2015-03-05,20.6,8.9,74.0,9.9,0.0,0.0
2015-03-06,20.7,7.4,76.0,7.4,0.0,0.0
2015-03-07,20.8,7.3,76.0,7.1,0.0,0.0
2015-03-08,20.5,7.4,78.0,7.2,0.0,0.0
2015-03-09,21.9,9.7,69.0,10.1,0.0,0.0
2015-03-10,16.9,3.1,73.0,0.0,0.0,0.0
2015-03-11,17.3,7.0,73.0,1.3,0.0,0.0
2015-03-12,17.5,6.1,76.0,1.3,0.0,0.0
2015-03-13,19.4,11.7,75.0,10.1,0.0,0.0
2015-03-14,21.9,8.8,75.0,9.3,0.0,0.0
2015-03-15,24.5,8.9,75.0,9.9,0.0,0.0
2015-03-16,24.5,4.9,83.0,4.2,2.6,1.6
2015-03-17,25.0,5.2,79.0,8.8,0.0,0.0
2015-03-18,24.8,6.0,73.0,10.4,0.0,0.0
2015-03-19,25.3,6.9,74.0,10.8,0.0,0.0
2015-03-20,24.2,6.4,79.0,7.0,0.0,0.0
2015-03-21,23.8,5.7,78.0,2.3,0.0,0.0
2015-03-22,22.7,6.1,74.0,0.2,0.0,0.0
2015-03-23,20.8,9.1,73.0,2.3,1.1,3.5
2015-03-24,20.6,9.3,76.0,5.1,0.0,0.0
2015-03-25,19.5,6.4,76.0,2.3,0.0,0.0
2015-03-26,20.8,9.0,78.0,1.8,0.0,0.0
2015-03-27,22.0,8.0,78.0,5.7,0.0,0.0
2015-03-28,22.5,9.7,67.0,6.4,0.0,0.0
2015-03-29,23.8,8.2,65.0,10.2,0.0,0.0
2015-03-30,25.4,7.2,68.0,9.2,0.0,0.0
2015-03-31,25.9,5.5,78.0,4.5,0.0,0.0
2015-04-01,26.1,5.8,82.0,9.8,0.0,0.0
2015-04-02,26.5,6.0,79.0,10.8,0.0,0.0
2015-04-03,26.4,6.2,79.0,11.1,0.0,0.0
2015-04-04,26.6,6.8,77.0,11.5,0.0,0.0
2015-04-05,27.6,8.0,72.0,10.8,0.0,0.0
2015-04-06,27.2,6.6,74.0,3.4,0.6,2.0
2015-04-07,24.7,7.9,77.0,2.1,0.0,0.0
2015-04-08,20.7,9.4,67.0,5.8,0.0,0.0
2015-04-09,22.4,11.3,68.0,10.3,0.0,0.0
2015-04-10,23.1,9.7,70.0,8.2,0.0,0.0
2015-04-11,18.3,3.8,86.0,0.0,8.5,11.2
2015-04-12,20.7,9.5,83.0,5.6,4.7,1.0
2015-04-13,22.1,7.6,62.0,11.2,0.2,0.0
2015-04-14,20.9,6.8,42.0,11.4,0.0,0.0
2015-04-15,22.7,10.0,58.0,11.4,0.0,0.0
2015-04-16,25.3,8.4,63.0,11.6,0.0,0.0
2015-04-17,25.7,8.5,77.0,8.0,0.0,0.0
2015-04-18,28.2,5.4,75.0,10.9,0.0,0.0
2015-04-19,27.9,5.0,74.0,8.0,0.0,0.0
2015-04-20,27.8,5.1,70.0,9.6,0.0,0.0
2015-04-21,24.2,4.8,85.0,0.0,7.1,11.6
2015-04-22,24.1,9.0,75.0,8.6,0.3,0.0
2015-04-23,24.5,8.2,73.0,7.5,0.0,0.0
2015-04-24,25.0,7.4,78.0,8.8,0.0,0.0
2015-04-25,25.5,8.2,74.0,8.8,0.0,0.0
2015-04-26,25.3,8.8,70.0,11.0,0.0,0.0
2015-04-27,26.3,7.9,71.0,10.5,0.0,0.0
2015-04-28,27.5,6.3,69.0,10.0,0.0,0.0
2015-04-29,26.8,5.2,77.0,7.7,0.0,0.0
2015-04-30,27.3,6.3,74.0,9.0,0.0,0.0
2015-05-01,27.4,5.6,73.0,4.7,0.0,0.0
2015-05-02,27.8,5.5,75.0,11.3,0.0,0.0
2015-05-03,27.8,5.7,77.0,9.4,0.0,0.0
2015-05-04,28.0,6.0,79.0,8.5,0.4,3.5
2015-05-05,26.2,5.4,80.0,2.0,0.4,0.5
2015-05-06,27.3,6.4,77.0,10.3,0.0,0.0
2015-05-07,28.2,6.0,74.0,10.3,0.0,0.0
2015-05-08,28.2,6.0,76.0,9.2,0.0,0.0
2015-05-09,29.1,6.1,75.0,11.7,0.0,0.0
2015-05-10,28.6,7.6,74.0,6.1,0.0,0.0
2015-05-11,27.5,6.0,77.0,2.2,0.0,0.0
2015-05-12,27.2,6.6,80.0,2.8,3.3,44.5
2015-05-13,27.5,5.1,77.0,5.0,0.0,0.0
2015-05-14,28.4,5.4,77.0,11.8,0.0,0.0
2015-05-15,28.6,6.1,77.0,11.9,0.0,0.0
2015-05-16,28.8,5.9,76.0,10.5,0.0,0.0
2015-05-17,28.8,5.6,73.0,11.8,0.0,0.0
2015-05-18,29.1,5.6,73.0,12.4,0.0,0.0
2015-05-19,29.4,5.8,72.0,11.4,0.0,0.0
2015-05-20,28.0,8.5,78.0,0.8,5.3,34.0
2015-05-21,24.9,5.9,86.0,0.0,14.8,34.0
2015-05-22,25.4,4.5,92.0,0.8,10.0,23.5
2015-05-23,25.3,3.3,94.0,0.0,8.2,34.5
2015-05-24,25.8,2.8,95.0,0.0,14.2,63.0
2015-05-25,25.8,2.2,96.0,0.0,8.1,22.5
2015-05-26,26.7,4.7,88.0,0.0,2.8,11.0
2015-05-27,27.8,7.3,82.0,2.1,0.9,0.5
2015-05-28,28.2,6.7,88.0,6.6,1.3,18.5
2015-05-29,29.4,4.9,84.0,8.5,0.0,0.0
2015-05-30,29.3,5.3,85.0,7.0,0.5,1.5
2015-05-31,27.3,6.1,85.0,0.2,1.5,8.5
2015-06-01,28.9,6.1,79.0,9.8,0.1,0.0
2015-06-02,29.5,6.1,78.0,12.2,0.0,0.0
2015-06-03,29.7,5.8,77.0,12.0,0.0,0.0
2015-06-04,29.6,5.8,77.0,9.2,0.0,0.0
2015-06-05,29.8,5.8,76.0,10.8,0.0,0.0
2015-06-06,29.4,4.2,77.0,1.1,0.0,0.0
2015-06-07,29.4,5.1,76.0,8.5,0.0,0.0
2015-06-08,29.7,6.6,71.0,12.0,0.0,0.0
2015-06-09,29.9,6.0,76.0,12.5,0.0,0.0
2015-06-10,30.5,5.7,73.0,12.7,0.0,0.0
2015-06-11,30.4,5.8,75.0,11.4,0.0,0.0
2015-06-12,30.7,5.9,73.0,11.9,0.0,0.0
2015-06-13,30.6,5.1,75.0,11.2,0.0,0.0
2015-06-14,30.5,5.3,74.0,12.0,0.0,0.0
2015-06-15,30.5,4.6,73.0,11.7,0.0,0.0
2015-06-16,30.5,5.2,73.0,12.5,0.0,0.0
2015-06-17,30.6,5.8,74.0,12.5,0.0,0.0
2015-06-18,30.6,5.6,73.0,10.0,0.0,0.0
2015-06-19,31.2,6.2,68.0,11.5,0.0,0.0
